 0.13188E+04  0.91903E+00
 0.13230E+04  0.95350E+00
 0.13243E+04  0.93146E+00
 0.13263E+04  0.98470E+00
 0.13286E+04  0.93428E+00
 0.13301E+04  0.95483E+00
 0.13329E+04  0.97515E+00
 0.13342E+04  0.95394E+00
 0.13370E+04  0.93946E+00
 0.13389E+04  0.91777E+00
 0.13403E+04  0.99680E+00
 0.13421E+04  0.99489E+00
 0.13427E+04  0.10122E+01
 0.13468E+04  0.98909E+00
 0.13491E+04  0.95234E+00
 0.13512E+04  0.97319E+00
 0.13540E+04  0.98808E+00
 0.13549E+04  0.10037E+01
 0.13571E+04  0.96159E+00
 0.13590E+04  0.95716E+00
 0.13623E+04  0.99454E+00
 0.13670E+04  0.99433E+00
 0.13756E+04  0.92479E+00
 0.13798E+04  0.95418E+00
 0.13847E+04  0.98859E+00
 0.13881E+04  0.98233E+00
 0.13928E+04  0.97156E+00
 0.13963E+04  0.96011E+00
 0.13991E+04  0.94373E+00
 0.14038E+04  0.93365E+00
 0.14077E+04  0.97763E+00
 0.14110E+04  0.91897E+00
 0.14139E+04  0.88387E+00
 0.14170E+04  0.86963E+00
 0.14216E+04  0.90047E+00
 0.14269E+04  0.89421E+00
 0.14316E+04  0.98423E+00
 0.14355E+04  0.90674E+00
 0.14401E+04  0.95727E+00
 0.14435E+04  0.93082E+00
 0.14464E+04  0.90068E+00
 0.14517E+04  0.90343E+00
 0.14558E+04  0.97352E+00
 0.14598E+04  0.10054E+01
 0.14643E+04  0.92816E+00
 0.14665E+04  0.94503E+00
 0.14677E+04  0.96346E+00
 0.14698E+04  0.98036E+00
 0.14730E+04  0.94813E+00
 0.14743E+04  0.91596E+00
 0.14777E+04  0.93594E+00
 0.14800E+04  0.88343E+00
 0.14818E+04  0.90997E+00
 0.14847E+04  0.97814E+00
 0.14876E+04  0.91453E+00
 0.14900E+04  0.97820E+00
 0.14926E+04  0.89630E+00
 0.14951E+04  0.10229E+01
 0.14975E+04  0.95348E+00
