NDF v9.6h 11Sep15 rev 12Mar16 run 03/05/2026 20:05:40 Filename: 672x0101.dat Nuno Barradas (Laboratório de Feixes de Iões), Campus Tecnológico e Nuclear, Instituto Superior Técnico
batch 672015.spc                                                                    
str 672015s.str                                                                   
file 672024R1.odf                                                                  
geo 672015g.geo                                                                   
elements 15
 Ca    Fe    O     C     Si    Cl    Na    Mg    Al    S     Ti    K     P     Mn    Ni   
 channel elements... background
    20  0.33253E+03  0.31149E+04  0.17956E+04  0.85636E+03  0.49054E+03  0.11986E+03  0.29410E+02  0.17910E+03  0.23083E+03  0.35165E+02  0.17320E+03  0.49818E+02  0.80482E+02  0.14944E+04  0.45530E+02  0.31506E+04
    21  0.33211E+03  0.31119E+04  0.17915E+04  0.85222E+03  0.48970E+03  0.11978E+03  0.29388E+02  0.17874E+03  0.23054E+03  0.35116E+02  0.17312E+03  0.49788E+02  0.80360E+02  0.14931E+04  0.45494E+02  0.31633E+04
    22  0.33135E+03  0.31057E+04  0.17856E+04  0.84730E+03  0.48836E+03  0.11956E+03  0.29335E+02  0.17820E+03  0.23001E+03  0.35030E+02  0.17285E+03  0.49702E+02  0.80155E+02  0.14903E+04  0.45410E+02  0.31735E+04
    23  0.33030E+03  0.30967E+04  0.17782E+04  0.84180E+03  0.48661E+03  0.11923E+03  0.29257E+02  0.17752E+03  0.22928E+03  0.34913E+02  0.17242E+03  0.49570E+02  0.79882E+02  0.14861E+04  0.45286E+02  0.31808E+04
    24  0.32902E+03  0.30856E+04  0.17697E+04  0.83588E+03  0.48454E+03  0.11882E+03  0.29159E+02  0.17672E+03  0.22840E+03  0.34773E+02  0.17186E+03  0.49400E+02  0.79555E+02  0.14809E+04  0.45130E+02  0.31854E+04
    25  0.32757E+03  0.30727E+04  0.17604E+04  0.82968E+03  0.48222E+03  0.11833E+03  0.29045E+02  0.17583E+03  0.22739E+03  0.34614E+02  0.17119E+03  0.49200E+02  0.79185E+02  0.14748E+04  0.44947E+02  0.31875E+04
    26  0.32598E+03  0.30585E+04  0.17505E+04  0.82332E+03  0.47972E+03  0.11778E+03  0.28919E+02  0.17488E+03  0.22629E+03  0.34441E+02  0.17044E+03  0.48977E+02  0.78784E+02  0.14681E+04  0.44744E+02  0.31873E+04
    27  0.32430E+03  0.30432E+04  0.17402E+04  0.81691E+03  0.47709E+03  0.11720E+03  0.28786E+02  0.17389E+03  0.22512E+03  0.34258E+02  0.16963E+03  0.48737E+02  0.78361E+02  0.14609E+04  0.44526E+02  0.31850E+04
    28  0.32255E+03  0.30273E+04  0.17297E+04  0.81053E+03  0.47439E+03  0.11658E+03  0.28648E+02  0.17288E+03  0.22392E+03  0.34069E+02  0.16878E+03  0.48485E+02  0.77924E+02  0.14534E+04  0.44299E+02  0.31807E+04
    29  0.32077E+03  0.30111E+04  0.17193E+04  0.80423E+03  0.47165E+03  0.11595E+03  0.28508E+02  0.17185E+03  0.22269E+03  0.33876E+02  0.16790E+03  0.48226E+02  0.77481E+02  0.14456E+04  0.44064E+02  0.31743E+04
