NDF v9.6h 11Sep15 rev 12Mar16 run 13/05/2026 16:37:05 Filename: 671f0102.dat Nuno Barradas (Laboratório de Feixes de Iões), Campus Tecnológico e Nuclear, Instituto Superior Técnico
batch 671132.spc                                                                    
str 671132s.str                                                                   
file 671132_stats.txt                                                              
geo pixe_h.geo                                                                    
element  data        error          fit
Ca K:  0.913520E+07  0.913520E+06  0.857206E+07
Mg K:  0.000000E+00  0.000000E+00  0.815604E+01
Al K:  0.000000E+00  0.000000E+00  0.946227E+03
Fe K:  0.122529E+05  0.122529E+04  0.167601E+05
Sr K:  0.224900E+03  0.233334E+02  0.203527E+03
Sr L:  0.000000E+00  0.000000E+00  0.201647E+03
Si K:  0.733300E+03  0.125733E+04  0.860172E+03
Cl K:  0.146855E+05  0.146855E+04  0.152386E+05
K  K:  0.345645E+05  0.345645E+04  0.252824E+05
Ti K:  0.984000E+03  0.119682E+03  0.688531E+03
V  K:  0.119100E+03  0.724830E+02  0.102522E+03
Mn K:  0.700000E+02  0.614284E+02  0.773583E+02
Ni K:  0.717300E+03  0.392018E+03  0.847802E+03
Cu K:  0.134400E+03  0.524350E+02  0.118999E+03
Zn K:  0.679000E+02  0.201550E+02  0.973147E+02
