NDF v9.6h 11Sep15 rev 12Mar16 run 03/07/2026 20:47:53 Filename: 671x0101.dat Nuno Barradas (Laboratório de Feixes de Iões), Campus Tecnológico e Nuclear, Instituto Superior Técnico
batch 671121.spc                                                                    
str 671121s.str                                                                   
file 671121R1.odf                                                                  
geo 671121g.geo                                                                   
elements 17
 Si    S     Cl    K     Ca    Ti    Mn    Fe    Co    Ni    Cu    16O   12C   V     Zn    Sr    Pb   
 channel elements... background
    18  0.39375E+01  0.14026E+01  0.44690E+01  0.19580E+01  0.34719E+02  0.64585E+00  0.10932E+03  0.25161E+02  0.21324E+01  0.74325E+01  0.20590E+01  0.18407E+03  0.12161E+02  0.16858E+00  0.70868E+00  0.27058E+00  0.50264E+00 -0.87809E+02
    19  0.40197E+01  0.14320E+01  0.45657E+01  0.19998E+01  0.35483E+02  0.65991E+00  0.11171E+03  0.25696E+02  0.21768E+01  0.75880E+01  0.21022E+01  0.18801E+03  0.12422E+02  0.17204E+00  0.72349E+00  0.27615E+00  0.51310E+00 -0.79624E+02
    20  0.41001E+01  0.14608E+01  0.46609E+01  0.20409E+01  0.36234E+02  0.67376E+00  0.11406E+03  0.26224E+02  0.22206E+01  0.77411E+01  0.21447E+01  0.19184E+03  0.12673E+02  0.17545E+00  0.73809E+00  0.28164E+00  0.52344E+00 -0.72253E+02
    21  0.41787E+01  0.14890E+01  0.47543E+01  0.20812E+01  0.36973E+02  0.68739E+00  0.11638E+03  0.26743E+02  0.22637E+01  0.78919E+01  0.21866E+01  0.19555E+03  0.12914E+02  0.17880E+00  0.75247E+00  0.28705E+00  0.53365E+00 -0.64969E+02
    22  0.42555E+01  0.15167E+01  0.48460E+01  0.21209E+01  0.37699E+02  0.70079E+00  0.11866E+03  0.27254E+02  0.23060E+01  0.80402E+01  0.22278E+01  0.19915E+03  0.13146E+02  0.18209E+00  0.76662E+00  0.29238E+00  0.54374E+00 -0.57766E+02
    23  0.43303E+01  0.15437E+01  0.49359E+01  0.21597E+01  0.38411E+02  0.71396E+00  0.12091E+03  0.27756E+02  0.23477E+01  0.81860E+01  0.22683E+01  0.20263E+03  0.13368E+02  0.18532E+00  0.78054E+00  0.29763E+00  0.55368E+00 -0.51095E+02
    24  0.44031E+01  0.15701E+01  0.50239E+01  0.21977E+01  0.39109E+02  0.72688E+00  0.12311E+03  0.28250E+02  0.23886E+01  0.83291E+01  0.23081E+01  0.20600E+03  0.13580E+02  0.18849E+00  0.79421E+00  0.30279E+00  0.56348E+00 -0.44950E+02
    25  0.44741E+01  0.15959E+01  0.51101E+01  0.22350E+01  0.39793E+02  0.73956E+00  0.12528E+03  0.28734E+02  0.24287E+01  0.84696E+01  0.23472E+01  0.20926E+03  0.13783E+02  0.19160E+00  0.80764E+00  0.30786E+00  0.57314E+00 -0.38874E+02
    26  0.45430E+01  0.16211E+01  0.51944E+01  0.22714E+01  0.40462E+02  0.75198E+00  0.12740E+03  0.29208E+02  0.24680E+01  0.86074E+01  0.23855E+01  0.21240E+03  0.13978E+02  0.19464E+00  0.82081E+00  0.31284E+00  0.58264E+00 -0.32861E+02
    27  0.46100E+01  0.16457E+01  0.52768E+01  0.23070E+01  0.41117E+02  0.76414E+00  0.12948E+03  0.29674E+02  0.25066E+01  0.87424E+01  0.24231E+01  0.21544E+03  0.14164E+02  0.19762E+00  0.83372E+00  0.31772E+00  0.59198E+00 -0.27208E+02
    28  0.46751E+01  0.16696E+01  0.53572E+01  0.23418E+01  0.41757E+02  0.77605E+00  0.13152E+03  0.30129E+02  0.25443E+01  0.88746E+01  0.24599E+01  0.21838E+03  0.14342E+02  0.20054E+00  0.84638E+00  0.32252E+00  0.60117E+00 -0.21910E+02
    29  0.47382E+01  0.16929E+01  0.54358E+01  0.23757E+01  0.42382E+02  0.78769E+00  0.13352E+03  0.30575E+02  0.25813E+01  0.90040E+01  0.24959E+01  0.22121E+03  0.14512E+02  0.20339E+00  0.85877E+00  0.32722E+00  0.61020E+00 -0.16657E+02
    30  0.47994E+01  0.17156E+01  0.55124E+01  0.24088E+01  0.42992E+02  0.79907E+00  0.13547E+03  0.31011E+02  0.26175E+01  0.91307E+01  0.25312E+01  0.22394E+03  0.14675E+02  0.20617E+00  0.87090E+00  0.33182E+00  0.61906E+00 -0.11445E+02
    31  0.48588E+01  0.17377E+01  0.55871E+01  0.24411E+01  0.43587E+02  0.81019E+00  0.13738E+03  0.31438E+02  0.26528E+01  0.92546E+01  0.25657E+01  0.22658E+03  0.14831E+02  0.20889E+00  0.88277E+00  0.33633E+00  0.62776E+00 -0.64638E+01
    32  0.49162E+01  0.17592E+01  0.56600E+01  0.24726E+01  0.44168E+02  0.82105E+00  0.13924E+03  0.31854E+02  0.26874E+01  0.93757E+01  0.25994E+01  0.22913E+03  0.14981E+02  0.21155E+00  0.89438E+00  0.34075E+00  0.63629E+00 -0.17075E+01
    33  0.49719E+01  0.17801E+01  0.57310E+01  0.25033E+01  0.44734E+02  0.83165E+00  0.14106E+03  0.32262E+02  0.27211E+01  0.94940E+01  0.26324E+01  0.23160E+03  0.15124E+02  0.21415E+00  0.90574E+00  0.34507E+00  0.64466E+00  0.30241E+01
    34  0.50258E+01  0.18005E+01  0.58002E+01  0.25332E+01  0.45285E+02  0.84200E+00  0.14284E+03  0.32660E+02  0.27541E+01  0.96097E+01  0.26646E+01  0.23398E+03  0.15262E+02  0.21668E+00  0.91683E+00  0.34930E+00  0.65287E+00  0.77357E+01
    35  0.50780E+01  0.18202E+01  0.58676E+01  0.25623E+01  0.45822E+02  0.85209E+00  0.14458E+03  0.33048E+02  0.27864E+01  0.97226E+01  0.26960E+01  0.23629E+03  0.15395E+02  0.21916E+00  0.92768E+00  0.35344E+00  0.66091E+00  0.12425E+02
    36  0.51286E+01  0.18395E+01  0.59333E+01  0.25906E+01  0.46346E+02  0.86194E+00  0.14628E+03  0.33427E+02  0.28178E+01  0.98329E+01  0.27268E+01  0.23852E+03  0.15523E+02  0.22157E+00  0.93827E+00  0.35748E+00  0.66879E+00  0.17096E+02
    37  0.51775E+01  0.18582E+01  0.59973E+01  0.26183E+01  0.46856E+02  0.87154E+00  0.14793E+03  0.33797E+02  0.28485E+01  0.99406E+01  0.27568E+01  0.24069E+03  0.15646E+02  0.22392E+00  0.94862E+00  0.36144E+00  0.67651E+00  0.21760E+02
    38  0.52249E+01  0.18764E+01  0.60597E+01  0.26452E+01  0.47352E+02  0.88090E+00  0.14955E+03  0.34159E+02  0.28785E+01  0.10046E+02  0.27861E+01  0.24279E+03  0.15766E+02  0.22622E+00  0.95873E+00  0.36531E+00  0.68407E+00  0.26418E+02
    39  0.52707E+01  0.18941E+01  0.61204E+01  0.26714E+01  0.47836E+02  0.89003E+00  0.15112E+03  0.34511E+02  0.29078E+01  0.10149E+02  0.28147E+01  0.24483E+03  0.15882E+02  0.22846E+00  0.96860E+00  0.36909E+00  0.69147E+00  0.30763E+02
    40  0.53152E+01  0.19114E+01  0.61796E+01  0.26969E+01  0.48307E+02  0.89894E+00  0.15266E+03  0.34856E+02  0.29364E+01  0.10249E+02  0.28427E+01  0.24682E+03  0.15994E+02  0.23065E+00  0.97824E+00  0.37279E+00  0.69871E+00  0.34796E+02
    41  0.53582E+01  0.19281E+01  0.62373E+01  0.27218E+01  0.48765E+02  0.90762E+00  0.15416E+03  0.35191E+02  0.29643E+01  0.10347E+02  0.28699E+01  0.24876E+03  0.16103E+02  0.23279E+00  0.98766E+00  0.37641E+00  0.70581E+00  0.38832E+02
    42  0.54000E+01  0.19445E+01  0.62935E+01  0.27460E+01  0.49212E+02  0.91609E+00  0.15562E+03  0.35519E+02  0.29916E+01  0.10442E+02  0.28966E+01  0.25065E+03  0.16210E+02  0.23487E+00  0.99686E+00  0.37994E+00  0.71275E+00  0.42872E+02
