NDF v9.6h 11Sep15 rev 12Mar16 run 03/07/2026 20:47:53 Filename: 671f0102.dat Nuno Barradas (Laboratório de Feixes de Iões), Campus Tecnológico e Nuclear, Instituto Superior Técnico
batch 671121.spc                                                                    
str 671121s.str                                                                   
file 671121_stats.txt                                                              
geo pixe_h.geo                                                                    
element  data        error          fit
Si K:  0.130230E+04  0.272609E+03  0.130551E+04
S  K:  0.607570E+04  0.607570E+03  0.607907E+04
Cl K:  0.410346E+05  0.410346E+04  0.410557E+05
K  K:  0.291810E+05  0.291810E+04  0.291898E+05
Ca K:  0.538502E+06  0.538502E+05  0.536504E+06
Ti K:  0.719110E+04  0.719110E+03  0.719547E+04
Mn K:  0.793066E+06  0.793066E+05  0.792941E+06
Fe K:  0.145058E+06  0.145058E+05  0.145147E+06
Co K:  0.713800E+04  0.713800E+03  0.713963E+04
Ni K:  0.193185E+05  0.193185E+04  0.193276E+05
Cu K:  0.449030E+04  0.449030E+03  0.449312E+04
V  K:  0.164610E+04  0.167437E+03  0.164924E+04
Zn K:  0.120920E+04  0.120920E+03  0.120908E+04
Sr K:  0.528000E+02  0.144988E+02  0.527326E+02
Sr L:  0.242000E+02  0.286123E+03  0.216812E+02
Pb L:  0.746000E+02  0.248987E+02  0.744951E+02
Pb M:  0.000000E+00  0.000000E+00  0.158353E+03
