NDF v9.6h 11Sep15 rev 12Mar16 run 21/02/2026 16:28:02 Filename: 671x0101.dat Nuno Barradas (Laboratório de Feixes de Iões), Campus Tecnológico e Nuclear, Instituto Superior Técnico
batch 671130.spc                                                                    
str 671130s.str                                                                   
file 672015R1.odf                                                                  
geo 671130g.geo                                                                   
elements 13
 Ca    Fe    O     C     Si    Cl    Na    Mg    Al    S     Ti    K     Cs   
 channel elements... background
    23  0.10216E+04  0.56241E+02  0.57010E+03  0.32306E+03  0.21715E+02  0.22447E+00  0.14620E-01  0.29371E+00  0.34299E+01  0.24976E+02  0.78459E+02  0.40209E+00  0.22996E+02  0.16504E+02
    24  0.10194E+04  0.56101E+02  0.56808E+03  0.32120E+03  0.21651E+02  0.22387E+00  0.14584E-01  0.29274E+00  0.34211E+01  0.24913E+02  0.78292E+02  0.40109E+00  0.22949E+02  0.16602E+02
    25  0.10164E+04  0.55923E+02  0.56570E+03  0.31917E+03  0.21572E+02  0.22311E+00  0.14539E-01  0.29158E+00  0.34100E+01  0.24832E+02  0.78067E+02  0.39982E+00  0.22885E+02  0.16682E+02
    26  0.10128E+04  0.55714E+02  0.56304E+03  0.31703E+03  0.21482E+02  0.22222E+00  0.14487E-01  0.29027E+00  0.33970E+01  0.24736E+02  0.77796E+02  0.39831E+00  0.22808E+02  0.16745E+02
    27  0.10087E+04  0.55480E+02  0.56018E+03  0.31480E+03  0.21383E+02  0.22123E+00  0.14429E-01  0.28885E+00  0.33825E+01  0.24630E+02  0.77487E+02  0.39662E+00  0.22721E+02  0.16810E+02
    28  0.10042E+04  0.55228E+02  0.55719E+03  0.31254E+03  0.21277E+02  0.22017E+00  0.14367E-01  0.28735E+00  0.33669E+01  0.24514E+02  0.77150E+02  0.39479E+00  0.22624E+02  0.16878E+02
    29  0.99947E+03  0.54961E+02  0.55411E+03  0.31026E+03  0.21167E+02  0.21906E+00  0.14303E-01  0.28580E+00  0.33506E+01  0.24393E+02  0.76790E+02  0.39287E+00  0.22522E+02  0.16938E+02
    30  0.99454E+03  0.54686E+02  0.55099E+03  0.30800E+03  0.21054E+02  0.21792E+00  0.14237E-01  0.28422E+00  0.33339E+01  0.24267E+02  0.76417E+02  0.39088E+00  0.22416E+02  0.16990E+02
    31  0.98950E+03  0.54406E+02  0.54788E+03  0.30576E+03  0.20940E+02  0.21676E+00  0.14171E-01  0.28263E+00  0.33169E+01  0.24140E+02  0.76034E+02  0.38885E+00  0.22306E+02  0.17004E+02
    32  0.98442E+03  0.54124E+02  0.54479E+03  0.30356E+03  0.20826E+02  0.21560E+00  0.14105E-01  0.28105E+00  0.32998E+01  0.24012E+02  0.75647E+02  0.38681E+00  0.22196E+02  0.16981E+02
    33  0.97934E+03  0.53843E+02  0.54175E+03  0.30143E+03  0.20713E+02  0.21444E+00  0.14040E-01  0.27949E+00  0.32830E+01  0.23884E+02  0.75261E+02  0.38478E+00  0.22085E+02  0.16955E+02
    34  0.97431E+03  0.53565E+02  0.53879E+03  0.29935E+03  0.20601E+02  0.21330E+00  0.13976E-01  0.27796E+00  0.32664E+01  0.23758E+02  0.74877E+02  0.38277E+00  0.21975E+02  0.16929E+02
    35  0.96937E+03  0.53292E+02  0.53591E+03  0.29734E+03  0.20493E+02  0.21219E+00  0.13915E-01  0.27648E+00  0.32501E+01  0.23635E+02  0.74500E+02  0.38080E+00  0.21867E+02  0.16941E+02
    36  0.96454E+03  0.53025E+02  0.53313E+03  0.29541E+03  0.20387E+02  0.21110E+00  0.13855E-01  0.27503E+00  0.32343E+01  0.23514E+02  0.74131E+02  0.37887E+00  0.21761E+02  0.16992E+02
    37  0.95984E+03  0.52766E+02  0.53045E+03  0.29355E+03  0.20284E+02  0.21005E+00  0.13798E-01  0.27364E+00  0.32191E+01  0.23398E+02  0.73772E+02  0.37700E+00  0.21658E+02  0.17044E+02
    38  0.95530E+03  0.52515E+02  0.52788E+03  0.29176E+03  0.20186E+02  0.20903E+00  0.13744E-01  0.27229E+00  0.32043E+01  0.23285E+02  0.73424E+02  0.37519E+00  0.21557E+02  0.17097E+02
    39  0.95091E+03  0.52273E+02  0.52541E+03  0.29004E+03  0.20090E+02  0.20806E+00  0.13692E-01  0.27100E+00  0.31902E+01  0.23176E+02  0.73089E+02  0.37345E+00  0.21461E+02  0.17128E+02
    40  0.94670E+03  0.52040E+02  0.52305E+03  0.28840E+03  0.19999E+02  0.20712E+00  0.13642E-01  0.26977E+00  0.31767E+01  0.23072E+02  0.72766E+02  0.37177E+00  0.21368E+02  0.17138E+02
    41  0.94265E+03  0.51816E+02  0.52081E+03  0.28683E+03  0.19912E+02  0.20622E+00  0.13595E-01  0.26859E+00  0.31637E+01  0.22972E+02  0.72455E+02  0.37016E+00  0.21278E+02  0.17149E+02
    42  0.93878E+03  0.51602E+02  0.51866E+03  0.28533E+03  0.19828E+02  0.20537E+00  0.13551E-01  0.26746E+00  0.31514E+01  0.22876E+02  0.72158E+02  0.36862E+00  0.21192E+02  0.17160E+02
    43  0.93508E+03  0.51397E+02  0.51663E+03  0.28390E+03  0.19748E+02  0.20455E+00  0.13510E-01  0.26638E+00  0.31396E+01  0.22785E+02  0.71875E+02  0.36714E+00  0.21110E+02  0.17188E+02
