           0
 F
           0
 F
           4
  4.0000000E-07
  0.0000000E+00
   1.900000    
  0.2000000    
   1.200000    
           2
   1000.000    
  0.0000000E+00
 F
  0.0000000E+00
   141.0000    
        1024
  0.0000000E+00   1.444600       19.13300    
  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.1410000E+03  0.1410000E+03
 -0.5977675E+00  0.0000000E+00 -0.5977675E+00  0.4559777E+02  0.4559777E+02
  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.7900000E+02  0.7900000E+02
  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.3100000E+02  0.3100000E+02
 -0.5977675E+00  0.0000000E+00 -0.5977675E+00  0.4959777E+02  0.4959777E+02
 -0.5977675E+00  0.0000000E+00 -0.5977675E+00  0.3059777E+02  0.3059777E+02
 -0.5984645E+00  0.0000000E+00 -0.6044388E+00  0.2659846E+02  0.2659846E+02
 -0.5998587E+00  0.0000000E+00 -0.6177815E+00  0.1859986E+02  0.1859986E+02
 -0.6012529E+00  0.4779410E-01 -0.6311242E+00  0.5060125E+02  0.5060125E+02
 -0.6026471E+00  0.4779410E-01 -0.6444669E+00  0.2660265E+02  0.2660265E+02
 -0.5655560E+00  0.5526325E-01 -0.6208192E+00  0.2656556E+02  0.2656556E+02
 -0.4899797E+00  0.7020156E-01 -0.5601812E+00  0.3148998E+02  0.3148998E+02
 -0.4144033E+00  0.8513987E-01 -0.4995432E+00  0.2941440E+02  0.2941440E+02
 -0.3388270E+00  0.1000782E+00 -0.4389051E+00  0.2133883E+02  0.2133883E+02
 -0.3500332E+00  0.1106777E+00 -0.4607109E+00  0.1535003E+02  0.1535003E+02
 -0.4480221E+00  0.1169386E+00 -0.5649606E+00  0.1844802E+02  0.1844802E+02
 -0.5460109E+00  0.1231994E+00 -0.6692103E+00  0.7354601E+02  0.7354601E+02
 -0.6439998E+00  0.1294602E+00 -0.7734600E+00  0.3064400E+02  0.3064400E+02
 -0.6366354E+00  0.1384558E+00 -0.7750912E+00  0.4063663E+02  0.4063663E+02
 -0.5239178E+00  0.1501863E+00 -0.6741041E+00  0.2452392E+02  0.2452392E+02
 -0.4112002E+00  0.1619167E+00 -0.5731170E+00  0.3441120E+02  0.3441120E+02
 -0.2984826E+00  0.1736472E+00 -0.4721299E+00  0.1929848E+02  0.1929848E+02
 -0.2533982E+00  0.1814415E+00 -0.4348397E+00  0.2225340E+02  0.2225340E+02
 -0.2759467E+00  0.1852997E+00 -0.4612465E+00  0.1027595E+02  0.1027595E+02
 -0.2984953E+00  0.1891579E+00 -0.4876532E+00  0.3229850E+02  0.3229850E+02
 -0.3210439E+00  0.1930161E+00 -0.5140600E+00  0.2832104E+02  0.2832104E+02
 -0.2986978E+00  0.1963100E+00 -0.4950079E+00  0.2429870E+02  0.2429870E+02
 -0.2314571E+00  0.1990398E+00 -0.4304969E+00  0.2223146E+02  0.2223146E+02
 -0.1642164E+00  0.2017695E+00 -0.3659859E+00  0.1216422E+02  0.1216422E+02
 -0.9697568E-01  0.2044992E+00 -0.3014749E+00  0.1309698E+02  0.1309698E+02
 -0.1556120E+00  0.2048423E+00 -0.3604544E+00  0.1515561E+02  0.1515561E+02
 -0.3401254E+00  0.2027988E+00 -0.5429242E+00  0.1434013E+02  0.1434013E+02
 -0.5246388E+00  0.2007553E+00 -0.7253941E+00  0.9152464E+02  0.9152464E+02
 -0.7091522E+00  0.1987117E+00 -0.9078640E+00  0.4170915E+02  0.4170915E+02
 -0.7346050E+00  0.2046395E+00 -0.9392446E+00  0.3773460E+02  0.3773460E+02
 -0.6009971E+00  0.2185387E+00 -0.8195359E+00  0.3160100E+02  0.3160100E+02
 -0.4673893E+00  0.2324379E+00 -0.6998271E+00  0.4746739E+02  0.4746739E+02
 -0.3337815E+00  0.2463370E+00 -0.5801185E+00  0.1733378E+02  0.1733378E+02
 -0.2857193E+00  0.2554373E+00 -0.5411566E+00  0.2228572E+02  0.2228572E+02
 -0.3232028E+00  0.2597387E+00 -0.5829416E+00  0.1632320E+02  0.1632320E+02
 -0.3606864E+00  0.2640401E+00 -0.6247265E+00  0.4336069E+02  0.4336069E+02
 -0.3981700E+00  0.2683416E+00 -0.6665115E+00  0.3139817E+02  0.3139817E+02
 -0.3746095E+00  0.2724124E+00 -0.6470219E+00  0.3637461E+02  0.3637461E+02
 -0.2900051E+00  0.2762525E+00 -0.5662575E+00  0.2229000E+02  0.2229000E+02
 -0.2054006E+00  0.2800926E+00 -0.4854932E+00  0.2620540E+02  0.2620540E+02
 -0.1207961E+00  0.2839328E+00 -0.4047289E+00  0.1512080E+02  0.1512080E+02
