NDF v9.6h 11Sep15 rev 12Mar16 run 06/07/2026 18:07:32 Filename: 671f0101.dat Nuno Barradas (Laboratório de Feixes de Iões), Campus Tecnológico e Nuclear, Instituto Superior Técnico
batch 671131.spc                                                                    
str 671131s.str                                                                   
file 671131R1.odf                                                                  
geo 671131g.geo                                                                   
 channel data fit
    1  0.11700E+03  0.28301E+03
    2  0.35000E+02  0.29415E+03
    3  0.31000E+02  0.30606E+03
    4  0.26000E+02  0.31773E+03
    5  0.24000E+02  0.32914E+03
    6  0.19000E+02  0.34093E+03
    7  0.18000E+02  0.35276E+03
    8  0.11000E+02  0.36462E+03
    9  0.21000E+02  0.37647E+03
   10  0.11000E+02  0.38831E+03
   11  0.15000E+02  0.40014E+03
   12  0.23000E+02  0.41195E+03
   13  0.17000E+02  0.42371E+03
   14  0.12000E+02  0.43543E+03
   15  0.80000E+01  0.44704E+03
   16  0.80000E+01  0.45855E+03
   17  0.25000E+02  0.47000E+03
   18  0.19000E+02  0.48140E+03
   19  0.26000E+02  0.49278E+03
   20  0.28000E+02  0.50413E+03
   21  0.36000E+02  0.51545E+03
   22  0.31000E+02  0.52672E+03
   23  0.22000E+02  0.53799E+03
   24  0.11000E+02  0.54927E+03
   25  0.13000E+02  0.56053E+03
   26  0.12000E+02  0.57178E+03
   27  0.13000E+02  0.58298E+03
   28  0.12000E+02  0.59415E+03
   29  0.12000E+02  0.60533E+03
   30  0.40000E+01  0.61651E+03
   31  0.80000E+01  0.62770E+03
   32  0.37000E+02  0.63890E+03
   33  0.27000E+02  0.65011E+03
   34  0.19000E+02  0.66133E+03
   35  0.23000E+02  0.67259E+03
   36  0.13000E+02  0.68388E+03
   37  0.21000E+02  0.69516E+03
   38  0.13000E+02  0.70642E+03
   39  0.12000E+02  0.71764E+03
   40  0.80000E+01  0.72878E+03
   41  0.18000E+02  0.73988E+03
   42  0.17000E+02  0.75091E+03
   43  0.19000E+02  0.76186E+03
   44  0.10000E+02  0.77273E+03
   45  0.22000E+02  0.78349E+03
   46  0.11000E+02  0.79411E+03
   47  0.10000E+02  0.80457E+03
   48  0.90000E+01  0.81485E+03
   49  0.24000E+02  0.82496E+03
   50  0.80000E+01  0.83487E+03
   51  0.13000E+02  0.84455E+03
   52  0.90000E+01  0.85398E+03
   53  0.19000E+02  0.86319E+03
   54  0.30000E+01  0.87215E+03
   55  0.14000E+02  0.87128E+03
   56  0.61000E+02  0.86058E+03
   57  0.91000E+02  0.84962E+03
   58  0.28790E+04  0.83841E+03
   59  0.69460E+04  0.83302E+03
   60  0.66150E+04  0.83345E+03
   61  0.64600E+04  0.83364E+03
   62  0.61860E+04  0.83360E+03
   63  0.60230E+04  0.84162E+03
   64  0.57310E+04  0.85769E+03
   65  0.53240E+04  0.87357E+03
   66  0.47110E+04  0.88927E+03
   67  0.43410E+04  0.90319E+03
   68  0.43620E+04  0.91533E+03
   69  0.45690E+04  0.92735E+03
   70  0.39830E+04  0.93927E+03
   71  0.32920E+04  0.95139E+03
   72  0.27860E+04  0.96372E+03
   73  0.24430E+04  0.97604E+03
   74  0.23300E+04  0.98837E+03
   75  0.22420E+04  0.99776E+03
   76  0.22460E+04  0.10042E+04
   77  0.22500E+04  0.10108E+04
   78  0.21720E+04  0.10175E+04
   79  0.19490E+04  0.10246E+04
   80  0.19780E+04  0.10320E+04
   81  0.18720E+04  0.10396E+04
   82  0.18300E+04  0.10475E+04
   83  0.17670E+04  0.10552E+04
   84  0.17570E+04  0.10627E+04
   85  0.17930E+04  0.10706E+04
   86  0.16980E+04  0.10788E+04
   87  0.17470E+04  0.10871E+04
   88  0.17330E+04  0.10955E+04
   89  0.18080E+04  0.11042E+04
   90  0.18030E+04  0.11133E+04
   91  0.18210E+04  0.11230E+04
   92  0.18610E+04  0.11333E+04
   93  0.17400E+04  0.11438E+04
   94  0.17560E+04  0.11546E+04
   95  0.19540E+04  0.11660E+04
