NDF v9.6h 11Sep15 rev 12Mar16 run 01/05/2026 17:58:20 Filename: 671f0102.dat Nuno Barradas (Laboratório de Feixes de Iões), Campus Tecnológico e Nuclear, Instituto Superior Técnico
batch 671135.spc                                                                    
str 671135s.str                                                                   
file 671135_stats.txt                                                              
geo pixe_h.geo                                                                    
element  data        error          fit
S  K:  0.147652E+07  0.147652E+06  0.802423E+06
Cl K:  0.889542E+06  0.889542E+05  0.161762E+07
K  K:  0.212570E+04  0.293689E+03  0.231443E+04
Ca K:  0.238800E+04  0.253426E+03  0.259153E+04
Ti K:  0.491300E+03  0.302824E+03  0.537752E+03
Fe K:  0.300948E+07  0.300948E+06  0.305378E+07
Cu K:  0.167990E+07  0.167990E+06  0.174208E+07
Sr K:  0.619000E+02  0.457778E+02  0.701110E+02
Sr L:  0.124610E+04  0.612164E+03  0.232634E+02
As K:  0.262600E+03  0.778026E+02  0.247076E+03
Br K:  0.408000E+02  0.211281E+02  0.407388E+02
Br L:  0.921900E+03  0.915513E+03  0.207227E+00
Rb K:  0.600000E+02  0.460060E+02  0.566560E+02
Rb L:  0.123450E+04  0.768662E+03  0.584478E+01
Y  K:  0.395000E+02  0.346527E+02  0.377611E+02
Y  L:  0.000000E+00  0.000000E+00  0.343143E+02
