NDF v9.6h 11Sep15 rev 12Mar16 run 05/07/2026 19:53:38 Filename: 671f0102.dat Nuno Barradas (Laboratório de Feixes de Iões), Campus Tecnológico e Nuclear, Instituto Superior Técnico
batch 671129.spc                                                                    
str 671129s.str                                                                   
file 671129_stats.txt                                                              
geo pixe_h.geo                                                                    
element  data        error          fit
Ca K:  0.823924E+07  0.823924E+06  0.710845E+07
Fe K:  0.312086E+05  0.312086E+04  0.837774E+05
Sr K:  0.251600E+03  0.251600E+02  0.455256E+03
Sr L:  0.408100E+04  0.174926E+04  0.573338E+03
K  K:  0.237461E+06  0.237461E+05  0.184787E+06
Cl K:  0.171970E+05  0.171970E+04  0.203380E+05
S  K:  0.212690E+04  0.861228E+03  0.294355E+04
Ti K:  0.361520E+04  0.361520E+03  0.289495E+04
Cr K:  0.907000E+02  0.643361E+02  0.972690E+02
Mn K:  0.230000E+03  0.645289E+02  0.141076E+03
Ni K:  0.963200E+03  0.274036E+03  0.156676E+04
Cu K:  0.164300E+03  0.465000E+02  0.142458E+03
Zn K:  0.724000E+02  0.197139E+02  0.500472E+02
Mg K:  0.000000E+00  0.000000E+00  0.402935E+01
Al K:  0.000000E+00  0.000000E+00  0.613263E+03
Si K:  0.903000E+04  0.154416E+04  0.339344E+05
