NDF v9.6h 11Sep15 rev 12Mar16 run 05/07/2026 19:53:38 Filename: 671x0101.dat Nuno Barradas (Laboratório de Feixes de Iões), Campus Tecnológico e Nuclear, Instituto Superior Técnico
batch 671129.spc                                                                    
str 671129s.str                                                                   
file 671129R1.odf                                                                  
geo 671129g.geo                                                                   
elements 18
 Ca    Fe    Sr    O     C     K     Cl    S     Ti    Cr    Mn    Ni    Cu    Zn    Na    Mg    Al    Si   
 channel elements... background
     1  0.11260E+03  0.00000E+00  0.00000E+00  0.92040E+02  0.34620E+02  0.13424E+02  0.11219E+01  0.36835E+01  0.79008E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.74743E-02  0.33308E-03  0.15512E+02  0.93547E+02  0.00000E+00  0.33381E+03
     2  0.11704E+03  0.00000E+00  0.00000E+00  0.96357E+02  0.36434E+02  0.13945E+02  0.11646E+01  0.38252E+01  0.81965E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.77423E-02  0.34678E-03  0.16160E+02  0.97332E+02  0.00000E+00  0.36161E+03
     3  0.12153E+03  0.00000E+00  0.00000E+00  0.10071E+03  0.38261E+02  0.14471E+02  0.12077E+01  0.39679E+01  0.84947E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.80123E-02  0.36058E-03  0.16813E+02  0.10115E+03  0.00000E+00  0.39008E+03
     4  0.12606E+03  0.00000E+00  0.00000E+00  0.10509E+03  0.40097E+02  0.15001E+02  0.12510E+01  0.41113E+01  0.87949E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.82840E-02  0.37443E-03  0.17470E+02  0.10499E+03  0.00000E+00  0.41829E+03
     5  0.13062E+03  0.00000E+00  0.00000E+00  0.10948E+03  0.41937E+02  0.15533E+02  0.12945E+01  0.42553E+01  0.90968E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.85572E-02  0.38833E-03  0.18129E+02  0.10884E+03  0.00000E+00  0.44599E+03
     6  0.13520E+03  0.00000E+00  0.00000E+00  0.11388E+03  0.43773E+02  0.16068E+02  0.13381E+01  0.43996E+01  0.93999E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.88314E-02  0.40225E-03  0.18790E+02  0.11271E+03  0.00000E+00  0.47339E+03
     7  0.13980E+03  0.00000E+00  0.00000E+00  0.11828E+03  0.45603E+02  0.16605E+02  0.13818E+01  0.45441E+01  0.97039E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.91064E-02  0.41617E-03  0.19451E+02  0.11658E+03  0.00000E+00  0.50004E+03
     8  0.14442E+03  0.00000E+00  0.00000E+00  0.12266E+03  0.47419E+02  0.17142E+02  0.14255E+01  0.46884E+01  0.10008E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.93819E-02  0.43005E-03  0.20112E+02  0.12046E+03  0.00000E+00  0.52570E+03
     9  0.14904E+03  0.00000E+00  0.00000E+00  0.12702E+03  0.49218E+02  0.17680E+02  0.14692E+01  0.48325E+01  0.10313E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.96574E-02  0.44388E-03  0.20771E+02  0.12433E+03  0.00000E+00  0.55021E+03
    10  0.15366E+03  0.00000E+00  0.00000E+00  0.13136E+03  0.50995E+02  0.18217E+02  0.15127E+01  0.49761E+01  0.10617E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.99328E-02  0.45764E-03  0.21427E+02  0.12818E+03  0.00000E+00  0.57338E+03
    11  0.15828E+03  0.00000E+00  0.00000E+00  0.13565E+03  0.52745E+02  0.18753E+02  0.15561E+01  0.51190E+01  0.10921E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.10208E-01  0.47130E-03  0.22078E+02  0.13202E+03  0.00000E+00  0.59511E+03
    12  0.16288E+03  0.00000E+00  0.00000E+00  0.13990E+03  0.54464E+02  0.19286E+02  0.15993E+01  0.52611E+01  0.11224E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.10482E-01  0.48485E-03  0.22725E+02  0.13584E+03  0.00000E+00  0.61528E+03
    13  0.16747E+03  0.00000E+00  0.00000E+00  0.14409E+03  0.56148E+02  0.19818E+02  0.16422E+01  0.54022E+01  0.11525E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.10755E-01  0.49826E-03  0.23365E+02  0.13963E+03  0.00000E+00  0.63378E+03
    14  0.17203E+03  0.00000E+00  0.00000E+00  0.14823E+03  0.57793E+02  0.20346E+02  0.16848E+01  0.55421E+01  0.11825E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.11026E-01  0.51153E-03  0.23999E+02  0.14338E+03  0.00000E+00  0.65054E+03
