NDF v9.6h 11Sep15 rev 12Mar16 run 03/05/2026 14:37:07 Filename: 671f0102.dat Nuno Barradas (Laboratório de Feixes de Iões), Campus Tecnológico e Nuclear, Instituto Superior Técnico
batch 671124.spc                                                                    
str 671124s.str                                                                   
file 671124_stats.txt                                                              
geo pixe_h.geo                                                                    
element  data        error          fit
Si K:  0.693110E+04  0.103070E+04  0.622361E+04
S  K:  0.337320E+04  0.650705E+03  0.320997E+04
Cl K:  0.626540E+04  0.626540E+03  0.604557E+04
K  K:  0.631374E+05  0.631374E+04  0.617453E+05
Ca K:  0.627038E+07  0.627038E+06  0.545046E+07
Ti K:  0.103134E+05  0.103134E+04  0.117014E+05
Mn K:  0.138411E+05  0.138411E+04  0.151789E+05
Fe K:  0.540370E+05  0.540370E+04  0.956764E+05
Co K:  0.204800E+03  0.184324E+03  0.204520E+03
Ni K:  0.956800E+03  0.318675E+03  0.103053E+04
Cu K:  0.161000E+03  0.480017E+02  0.189230E+06
Sr K:  0.136900E+03  0.191670E+02  0.138672E+03
Sr L:  0.000000E+00  0.000000E+00  0.735826E+02
Zn K:  0.148700E+03  0.235327E+02  0.151620E+03
