0,2,0,0,2,2,0,3,1,1,0,1,1,0,2,0,1,0,1,3,2,4,1,1,1,1,0,0,2,1,0,0,1,0,2,2,2,1,0,1,1,0,1,2,1,1,3,3,0,1,1,0,0,2,1,0,1,1,2,1,0,0,0,1,2,1,2,1,3,3,0,0,5,0,2,0,2,4,1,3,1,0,1,1,2,1,1,1,0,1,1,0,1,0,1,2,2,1,1,5,0,3,2,3,1,1,0,1,0,2,2,0,1,2,0,2,3,2,3,4,1,2,0,1,1,3,1,1,0,2,3,2,2,2,1,1,2,1,2,1,0,3,1,0,0,0,1,0,3,1,2,1,1,0,1,2,0,0,0,1,4,2,4,0,0,1,0,0,1,1,1,2,2,1,1,2,2,0,1,1,2,1,1,1,1,1,1,0,0,3,8,20,23,42,26,46,53,41,49,36,43,34,38,36,35,38,48,40,33,28,34,21,30,30,32,34,38,41,50,45,46,42,43,40,53,48,35,36,37,55,40,47,39,33,44,29,32,35,27,25,32,42,31,47,40,23,28,28,34,28,30,31,36,34,36,31
3,2,1,0,2,1,0,2,0,1,0,1,1,1,1,1,0,1,0,2,0,0,0,2,0,0,2,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,2,1,2,3,1,0,1,0,0,1,1,2,0,2,1,0,1,0,1,2,2,1,0,2,1,3,0,0,2,2,2,1,1,1,1,0,0,3,2,3,2,3,0,0,2,0,1,1,1,0,1,1,0,2,0,3,2,1,2,3,2,0,0,0,2,3,1,1,1,2,1,0,3,1,0,2,1,1,1,2,0,0,1,1,1,2,1,0,3,0,1,0,0,2,0,0,2,1,3,4,0,1,0,1,2,2,1,1,2,3,1,1,5,4,1,2,1,0,1,3,0,2,2,2,3,0,4,1,0,1,3,0,1,2,0,1,2,2,2,1,1,1,1,0,2,3,23,29,35,54,50,39,48,43,56,48,45,54,57,44,55,39,42,45,35,25,31,23,26,32,32,45,36,36,25,40,45,45,38,49,44,51,40,39,33,37,50,38,44,44,34,28,35,29,34,29,38,41,29,35,30,36,36,44,43,26,37,31,28,29,36
0,1,0,0,1,1,0,1,2,2,0,1,1,1,1,0,1,1,0,2,0,0,2,2,2,4,2,0,1,1,1,0,0,0,1,0,1,2,2,0,1,2,1,1,0,0,2,1,1,0,2,2,4,2,1,2,1,0,2,1,0,2,4,0,0,1,0,1,1,2,2,2,3,2,2,2,1,2,2,2,2,1,5,1,0,1,1,1,4,2,2,3,0,2,2,5,2,1,1,0,1,0,1,1,0,0,1,2,2,1,1,1,1,1,1,2,0,1,1,3,0,3,0,1,1,2,0,0,1,0,2,1,2,0,2,0,3,1,2,4,2,2,2,0,1,1,1,0,1,1,1,2,1,1,4,2,0,2,1,0,0,1,3,3,0,2,0,0,2,0,1,3,3,2,0,1,3,2,1,1,0,2,0,2,1,2,0,0,1,3,8,25,27,37,48,45,43,47,45,47,35,32,40,44,36,42,35,37,32,26,32,23,25,27,29,44,41,34,39,45,39,37,41,38,33,49,40,46,41,45,46,35,55,37,44,44,38,37,36,28,33,26,39,34,33,26,38,30,34,33,27,29,34,33,28,27
0,1,1,1,0,1,1,1,1,2,1,0,1,0,0,1,1,1,2,1,0,1,0,0,0,1,5,1,1,1,2,0,0,0,1,1,2,0,0,1,1,1,0,1,1,0,1,1,1,1,0,2,0,2,4,1,1,0,0,1,3,2,0,1,2,2,1,1,0,1,2,2,0,1,1,3,2,3,1,4,0,0,1,1,1,0,2,1,0,1,1,2,1,0,1,1,1,2,1,1,3,3,1,1,1,0,0,2,2,2,1,0,3,1,0,1,2,2,0,0,3,0,3,0,2,1,1,1,2,3,0,0,1,3,1,0,1,1,2,0,3,4,3,3,0,2,0,1,1,2,4,2,1,1,1,3,2,1,1,0,2,2,2,3,0,1,1,3,2,0,0,4,2,2,3,1,1,0,0,2,1,1,2,2,0,0,1,2,1,2,6,19,26,49,44,41,42,37,40,37,41,31,40,30,46,42,28,26,30,27,31,29,28,32,30,42,37,43,32,29,38,47,41,53,43,44,27,34,38,41,43,39,36,47,39,31,37,38,27,23,31,31,37,24,40,34,38,38,38,28,33,29,24,34,28,27
0,0,1,2,3,0,1,1,3,1,2,1,0,0,0,3,0,1,3,1,2,0,0,0,0,0,0,2,2,0,1,1,2,0,0,2,2,2,1,1,0,1,2,0,2,2,0,1,2,0,2,1,1,2,1,1,0,3,4,2,1,2,2,1,1,3,0,2,2,0,1,2,1,2,1,2,3,1,1,2,1,1,1,0,2,1,2,4,1,0,1,1,1,4,1,4,2,3,2,1,0,0,1,1,2,0,1,2,1,1,2,3,1,0,0,3,2,2,1,3,0,3,1,1,2,1,2,0,1,0,0,1,0,1,1,0,3,2,1,1,2,1,1,0,1,1,1,2,2,1,0,0,3,0,2,0,2,0,0,2,2,2,1,1,0,0,0,2,2,4,2,3,2,2,1,1,1,3,0,3,1,4,1,2,0,1,1,0,1,5,5,15,38,30,43,46,44,38,29,35,27,31,28,32,30,42,33,26,25,25,24,34,22,37,27,35,30,37,35,38,40,43,53,42,38,42,38,42,47,33,38,37,40,45,39,36,45,37,45,29,29,37,30,28,36,40,28,29,38,29,34,33,28,29,27,28
0,1,0,1,0,0,0,1,0,1,1,2,1,4,0,0,1,0,0,1,2,0,1,0,0,1,1,3,3,3,1,1,1,1,2,0,2,2,1,0,0,2,1,2,0,3,0,0,1,1,1,3,3,3,3,2,1,1,4,0,1,0,2,0,3,1,1,1,0,0,1,1,2,0,3,2,0,1,0,3,0,2,4,2,1,1,1,0,1,2,2,0,1,0,1,0,3,0,1,2,1,1,3,2,2,0,4,3,1,3,3,1,1,2,1,4,0,0,1,0,2,1,2,1,0,0,1,1,2,1,0,0,1,4,0,1,0,1,0,1,0,0,1,0,1,1,0,6,1,6,2,0,2,1,0,3,1,0,2,2,0,3,1,2,0,1,1,2,1,0,3,0,0,0,0,1,0,0,0,2,2,1,0,3,0,3,2,2,5,4,19,26,40,45,45,47,49,47,31,26,24,30,34,28,27,32,26,30,29,22,25,24,31,20,27,33,31,33,30,33,49,32,44,39,35,46,44,36,43,42,49,40,52,39,41,34,44,37,37,41,35,34,38,39,37,32,30,34,28,26,23,25,27,24,36,17
4,1,3,3,4,0,1,0,1,1,1,1,0,0,2,0,1,0,0,1,1,0,2,1,0,1,0,3,1,0,1,0,3,1,2,1,0,2,0,2,0,2,1,1,1,1,3,1,1,1,2,0,1,1,1,0,1,0,0,0,2,3,0,1,1,3,0,0,1,0,2,2,3,2,3,0,2,1,0,1,1,1,2,2,2,2,0,2,0,1,1,1,2,1,3,2,1,0,0,2,2,0,2,0,0,2,1,1,0,4,2,0,0,0,4,2,1,1,0,3,0,3,1,0,1,0,0,0,1,3,3,1,3,3,2,4,0,1,2,2,0,0,2,2,1,1,3,0,4,3,3,1,0,2,0,2,1,2,3,1,2,1,2,3,2,0,0,2,0,2,1,0,1,0,0,2,1,1,1,0,1,0,0,0,3,0,4,2,5,12,22,31,50,47,50,50,44,44,38,38,38,27,25,32,31,28,26,25,17,33,21,22,14,30,24,23,31,29,30,33,40,32,46,40,44,40,41,37,49,49,46,52,42,34,48,38,44,38,43,41,28,37,36,30,37,38,23,27,33,25,29,33,36,35,23,31
0,1,0,1,0,1,2,0,1,1,2,2,4,0,2,1,0,0,2,3,1,2,3,1,0,2,1,0,1,2,0,1,0,1,1,2,0,1,1,1,1,1,0,1,0,2,0,1,0,1,2,1,1,2,1,2,1,2,0,3,0,0,4,3,0,2,2,0,1,1,1,1,1,2,1,1,1,2,3,0,1,0,3,3,0,0,4,2,0,0,0,2,0,0,4,3,2,4,1,1,0,1,1,1,4,1,0,1,1,2,4,0,0,1,4,2,1,2,1,1,1,2,2,1,0,3,3,1,1,0,1,0,3,3,1,2,0,3,1,1,2,1,3,1,0,2,1,0,1,0,1,0,0,3,2,0,1,3,1,0,2,1,1,1,2,1,2,0,0,2,2,2,1,0,1,1,1,2,2,6,3,1,2,1,0,0,2,2,4,18,21,34,43,53,46,44,40,44,39,35,39,31,33,37,27,33,19,30,17,28,29,22,20,17,26,23,31,31,28,33,25,36,30,47,40,38,45,35,37,44,43,30,42,46,46,56,40,43,36,42,31,47,26,47,18,39,37,29,38,37,36,25,34,34,30,24
0,2,2,0,1,0,1,0,1,0,1,0,2,1,1,1,2,2,0,4,1,0,4,0,3,0,0,1,1,1,0,1,0,0,0,0,3,3,2,0,2,0,1,0,0,0,2,0,0,0,2,2,1,3,2,2,1,2,1,0,0,1,2,1,1,0,0,1,1,1,6,4,0,3,3,0,1,1,2,0,2,2,1,0,1,1,2,1,2,1,3,1,0,3,4,1,0,1,1,0,3,2,1,0,3,1,0,1,2,1,4,2,0,1,0,3,0,1,2,3,1,0,1,1,0,0,1,2,1,3,3,0,1,4,1,3,2,0,4,0,1,3,0,2,1,0,3,0,1,1,1,0,1,1,1,3,0,0,0,0,0,3,1,2,0,0,0,1,0,2,1,0,1,0,2,1,0,0,3,1,3,3,1,3,1,0,2,8,16,14,31,37,55,48,40,49,41,48,47,40,40,31,29,35,24,30,36,28,26,28,31,31,26,33,26,26,26,23,22,33,33,30,34,41,39,44,49,34,38,44,50,43,48,41,47,53,35,49,33,41,34,30,25,23,41,36,36,36,24,30,38,36,32,31,34,31
0,0,0,3,2,1,1,2,3,1,2,1,0,1,0,1,2,1,1,0,2,1,0,1,1,2,0,1,2,1,1,0,1,0,0,0,0,1,3,1,2,1,1,2,0,1,1,0,1,2,3,2,0,1,1,0,5,2,1,0,1,1,3,1,0,0,1,1,3,3,1,0,1,4,1,1,0,3,3,0,1,4,0,1,0,0,2,4,2,1,2,0,3,1,1,3,1,0,1,2,1,1,1,0,1,1,2,0,0,1,0,1,2,1,1,1,4,0,0,4,1,2,1,2,2,1,1,1,3,1,2,3,1,0,1,0,3,1,0,1,0,0,0,1,0,0,2,2,0,1,2,0,2,1,1,2,2,0,4,1,2,0,2,1,1,1,0,3,0,2,2,2,1,0,4,3,1,1,5,5,4,5,1,1,2,1,6,9,11,28,40,42,41,46,48,46,42,31,36,41,37,37,29,32,35,30,38,30,32,28,29,34,34,39,29,30,34,41,36,36,37,31,30,39,44,39,42,38,33,36,46,50,45,34,38,45,42,50,33,37,30,39,33,41,31,35,25,40,31,27,42,39,33,32,20,26
