NDF v9.6h 11Sep15 rev 12Mar16 run 03/05/2026 15:34:26 Filename: 671f0102.dat Nuno Barradas (Laboratório de Feixes de Iões), Campus Tecnológico e Nuclear, Instituto Superior Técnico
batch 671126.spc                                                                    
str 671126s.str                                                                   
file 671126_stats.txt                                                              
geo pixe_h.geo                                                                    
element  data        error          fit
Si K:  0.102459E+05  0.102459E+04  0.106563E+05
S  K:  0.214839E+05  0.214839E+04  0.223796E+05
Cl K:  0.214090E+06  0.214090E+05  0.219147E+06
K  K:  0.713526E+05  0.713526E+04  0.735808E+05
Ca K:  0.898419E+06  0.898419E+05  0.938709E+06
Ti K:  0.105714E+06  0.105714E+05  0.107688E+06
Mn K:  0.208423E+07  0.208423E+06  0.187100E+07
Fe K:  0.301255E+07  0.301255E+06  0.253650E+07
Co K:  0.313486E+05  0.345659E+04  0.321434E+05
Ni K:  0.155353E+05  0.155353E+04  0.164468E+05
Cu K:  0.424390E+04  0.424390E+03  0.448152E+04
Sr K:  0.409900E+03  0.409900E+02  0.415597E+03
Sr L:  0.000000E+00  0.000000E+00  0.154612E+03
Pb L:  0.232600E+03  0.164146E+03  0.141322E+04
Pb M:  0.119400E+04  0.160128E+04  0.264827E+04
V  K:  0.164185E+05  0.164185E+04  0.165258E+05
Zn K:  0.306460E+04  0.306460E+03  0.325048E+04
Mo K:  0.343000E+02  0.114802E+02  0.356018E+02
Mo L:  0.000000E+00  0.000000E+00  0.331189E+03
Al K:  0.000000E+00  0.000000E+00  0.388859E+03
As K:  0.970500E+03  0.970500E+02  0.964206E+03
