NDF v9.6h 11Sep15 rev 12Mar16 run 03/05/2026 15:34:26 Filename: 671x0101.dat Nuno Barradas (Laboratório de Feixes de Iões), Campus Tecnológico e Nuclear, Instituto Superior Técnico
batch 671126.spc                                                                    
str 671126s.str                                                                   
file 671126R1.odf                                                                  
geo 671126g.geo                                                                   
elements 20
 Si    S     Cl    K     Ca    Ti    Mn    Fe    Co    Ni    Cu    16O   12C   Sr    Pb    V     Zn    Mo    Al    As   
 channel elements... background
    15  0.25643E+02  0.41585E+01  0.19958E+02  0.40114E+01  0.50191E+02  0.68398E+01  0.18090E+03  0.30938E+03  0.60476E+01  0.48799E+01  0.15714E+01  0.46084E+03  0.29449E+02  0.15135E+01  0.70390E+01  0.11445E+01  0.14113E+01  0.38861E+00  0.16550E+02  0.89961E+00  0.10610E+02
    16  0.26249E+02  0.42630E+01  0.20434E+02  0.41102E+01  0.51360E+02  0.69997E+01  0.18532E+03  0.31673E+03  0.61868E+01  0.49932E+01  0.16077E+01  0.47234E+03  0.30191E+02  0.15492E+01  0.71989E+01  0.11723E+01  0.14447E+01  0.39779E+00  0.16968E+02  0.92060E+00  0.10611E+02
    17  0.26846E+02  0.43664E+01  0.20904E+02  0.42079E+01  0.52514E+02  0.71579E+01  0.18969E+03  0.32401E+03  0.63246E+01  0.51053E+01  0.16438E+01  0.48358E+03  0.30912E+02  0.15847E+01  0.73576E+01  0.11999E+01  0.14778E+01  0.40690E+00  0.17381E+02  0.94140E+00  0.10578E+02
    18  0.27432E+02  0.44684E+01  0.21368E+02  0.43045E+01  0.53652E+02  0.73142E+01  0.19403E+03  0.33122E+03  0.64607E+01  0.52162E+01  0.16794E+01  0.49456E+03  0.31608E+02  0.16198E+01  0.75150E+01  0.12272E+01  0.15106E+01  0.41593E+00  0.17788E+02  0.96200E+00  0.10515E+02
    19  0.28008E+02  0.45690E+01  0.21825E+02  0.43998E+01  0.54775E+02  0.74685E+01  0.19832E+03  0.33833E+03  0.65952E+01  0.53258E+01  0.17146E+01  0.50528E+03  0.32282E+02  0.16545E+01  0.76709E+01  0.12541E+01  0.15430E+01  0.42486E+00  0.18188E+02  0.98236E+00  0.10479E+02
    20  0.28572E+02  0.46680E+01  0.22275E+02  0.44938E+01  0.55880E+02  0.76206E+01  0.20255E+03  0.34536E+03  0.67279E+01  0.54339E+01  0.17493E+01  0.51571E+03  0.32931E+02  0.16888E+01  0.78253E+01  0.12808E+01  0.15751E+01  0.43371E+00  0.18582E+02  0.10025E+01  0.10474E+02
    21  0.29125E+02  0.47654E+01  0.22718E+02  0.45863E+01  0.56967E+02  0.77704E+01  0.20673E+03  0.35229E+03  0.68588E+01  0.55405E+01  0.17836E+01  0.52586E+03  0.33557E+02  0.17228E+01  0.79780E+01  0.13071E+01  0.16067E+01  0.44245E+00  0.18969E+02  0.10224E+01  0.10449E+02
    22  0.29666E+02  0.48612E+01  0.23153E+02  0.46773E+01  0.58035E+02  0.79180E+01  0.21086E+03  0.35912E+03  0.69876E+01  0.56455E+01  0.18174E+01  0.53573E+03  0.34159E+02  0.17563E+01  0.81289E+01  0.13330E+01  0.16379E+01  0.45109E+00  0.19348E+02  0.10420E+01  0.10407E+02
    23  0.30195E+02  0.49551E+01  0.23580E+02  0.47668E+01  0.59085E+02  0.80631E+01  0.21492E+03  0.36585E+03  0.71145E+01  0.57489E+01  0.18507E+01  0.54531E+03  0.34738E+02  0.17894E+01  0.82780E+01  0.13585E+01  0.16686E+01  0.45961E+00  0.19721E+02  0.10613E+01  0.10379E+02
    24  0.30711E+02  0.50473E+01  0.24000E+02  0.48548E+01  0.60114E+02  0.82057E+01  0.21892E+03  0.37247E+03  0.72393E+01  0.58507E+01  0.18835E+01  0.55460E+03  0.35294E+02  0.18220E+01  0.84251E+01  0.13835E+01  0.16988E+01  0.46801E+00  0.20085E+02  0.10803E+01  0.10369E+02
    25  0.31214E+02  0.51376E+01  0.24411E+02  0.49410E+01  0.61124E+02  0.83457E+01  0.22285E+03  0.37897E+03  0.73619E+01  0.59507E+01  0.19157E+01  0.56361E+03  0.35827E+02  0.18541E+01  0.85702E+01  0.14082E+01  0.17286E+01  0.47629E+00  0.20442E+02  0.10990E+01  0.10351E+02
    26  0.31705E+02  0.52260E+01  0.24814E+02  0.50256E+01  0.62113E+02  0.84832E+01  0.22671E+03  0.38537E+03  0.74823E+01  0.60489E+01  0.19473E+01  0.57234E+03  0.36338E+02  0.18857E+01  0.87133E+01  0.14324E+01  0.17579E+01  0.48445E+00  0.20791E+02  0.11174E+01  0.10328E+02
    27  0.32183E+02  0.53125E+01  0.25208E+02  0.51085E+01  0.63082E+02  0.86180E+01  0.23051E+03  0.39164E+03  0.76005E+01  0.61454E+01  0.19784E+01  0.58079E+03  0.36829E+02  0.19168E+01  0.88542E+01  0.14562E+01  0.17867E+01  0.49247E+00  0.21132E+02  0.11355E+01  0.10299E+02
    28  0.32648E+02  0.53970E+01  0.25594E+02  0.51896E+01  0.64030E+02  0.87501E+01  0.23423E+03  0.39780E+03  0.77165E+01  0.62400E+01  0.20090E+01  0.58897E+03  0.37299E+02  0.19474E+01  0.89930E+01  0.14796E+01  0.18149E+01  0.50037E+00  0.21465E+02  0.11533E+01  0.10267E+02
    29  0.33100E+02  0.54796E+01  0.25972E+02  0.52690E+01  0.64958E+02  0.88795E+01  0.23788E+03  0.40384E+03  0.78302E+01  0.63328E+01  0.20389E+01  0.59689E+03  0.37750E+02  0.19774E+01  0.91295E+01  0.15025E+01  0.18426E+01  0.50812E+00  0.21790E+02  0.11708E+01  0.10236E+02
    30  0.33540E+02  0.55603E+01  0.26341E+02  0.53466E+01  0.65865E+02  0.90062E+01  0.24146E+03  0.40975E+03  0.79416E+01  0.64237E+01  0.20683E+01  0.60455E+03  0.38183E+02  0.20069E+01  0.92637E+01  0.15249E+01  0.18698E+01  0.51574E+00  0.22107E+02  0.11879E+01  0.10206E+02
    31  0.33967E+02  0.56389E+01  0.26701E+02  0.54225E+01  0.66751E+02  0.91302E+01  0.24497E+03  0.41555E+03  0.80507E+01  0.65128E+01  0.20970E+01  0.61197E+03  0.38598E+02  0.20359E+01  0.93957E+01  0.15468E+01  0.18965E+01  0.52322E+00  0.22416E+02  0.12047E+01  0.10111E+02
    32  0.34382E+02  0.57157E+01  0.27053E+02  0.54966E+01  0.67617E+02  0.92516E+01  0.24840E+03  0.42122E+03  0.81576E+01  0.66001E+01  0.21252E+01  0.61914E+03  0.38997E+02  0.20643E+01  0.95254E+01  0.15683E+01  0.19226E+01  0.53057E+00  0.22717E+02  0.12212E+01  0.99495E+01
    33  0.34784E+02  0.57905E+01  0.27397E+02  0.55690E+01  0.68462E+02  0.93702E+01  0.25176E+03  0.42678E+03  0.82621E+01  0.66855E+01  0.21528E+01  0.62609E+03  0.39381E+02  0.20921E+01  0.96527E+01  0.15893E+01  0.19482E+01  0.53777E+00  0.23011E+02  0.12373E+01  0.97927E+01
    34  0.35175E+02  0.58633E+01  0.27733E+02  0.56396E+01  0.69288E+02  0.94862E+01  0.25505E+03  0.43221E+03  0.83644E+01  0.67690E+01  0.21798E+01  0.63283E+03  0.39750E+02  0.21194E+01  0.97778E+01  0.16099E+01  0.19732E+01  0.54483E+00  0.23297E+02  0.12531E+01  0.96407E+01
    35  0.35554E+02  0.59343E+01  0.28061E+02  0.57085E+01  0.70094E+02  0.95995E+01  0.25827E+03  0.43752E+03  0.84645E+01  0.68508E+01  0.22062E+01  0.63935E+03  0.40106E+02  0.21461E+01  0.99005E+01  0.16300E+01  0.19978E+01  0.55175E+00  0.23575E+02  0.12685E+01  0.95686E+01
    36  0.35921E+02  0.60035E+01  0.28380E+02  0.57757E+01  0.70880E+02  0.97103E+01  0.26141E+03  0.44272E+03  0.85623E+01  0.69308E+01  0.22321E+01  0.64568E+03  0.40449E+02  0.21723E+01  0.10021E+02  0.16496E+01  0.20218E+01  0.55852E+00  0.23847E+02  0.12837E+01  0.95765E+01
    37  0.36278E+02  0.60708E+01  0.28692E+02  0.58413E+01  0.71648E+02  0.98185E+01  0.26448E+03  0.44779E+03  0.86580E+01  0.70090E+01  0.22574E+01  0.65182E+03  0.40780E+02  0.21980E+01  0.10139E+02  0.16688E+01  0.20452E+01  0.56516E+00  0.24111E+02  0.12985E+01  0.95894E+01
    38  0.36623E+02  0.61364E+01  0.28997E+02  0.59052E+01  0.72397E+02  0.99242E+01  0.26748E+03  0.45276E+03  0.87515E+01  0.70854E+01  0.22821E+01  0.65778E+03  0.41101E+02  0.22231E+01  0.10255E+02  0.16875E+01  0.20682E+01  0.57167E+00  0.24368E+02  0.13130E+01  0.96073E+01
    39  0.36958E+02  0.62002E+01  0.29294E+02  0.59676E+01  0.73128E+02  0.10027E+02  0.27041E+03  0.45761E+03  0.88429E+01  0.71602E+01  0.23063E+01  0.66358E+03  0.41412E+02  0.22476E+01  0.10368E+02  0.17058E+01  0.20907E+01  0.57803E+00  0.24619E+02  0.13271E+01  0.95893E+01
