 0.10000E+03  0.97400E+00
 0.12000E+03  0.97100E+00
 0.14000E+03  0.96900E+00
 0.16000E+03  0.96800E+00
 0.18000E+03  0.96600E+00
 0.20000E+03  0.96700E+00
 0.22000E+03  0.96600E+00
 0.24000E+03  0.96500E+00
 0.26000E+03  0.96500E+00
 0.28000E+03  0.96500E+00
 0.30000E+03  0.96600E+00
 0.32000E+03  0.96700E+00
 0.34000E+03  0.96800E+00
 0.36000E+03  0.97000E+00
 0.38000E+03  0.97200E+00
 0.40000E+03  0.97600E+00
 0.42000E+03  0.97900E+00
 0.44000E+03  0.98300E+00
 0.46000E+03  0.98800E+00
 0.48000E+03  0.99400E+00
 0.50000E+03  0.10000E+01
 0.52000E+03  0.10080E+01
 0.54000E+03  0.10160E+01
 0.56000E+03  0.10240E+01
 0.58000E+03  0.10340E+01
 0.60000E+03  0.10440E+01
 0.62000E+03  0.10550E+01
 0.64000E+03  0.10670E+01
 0.66000E+03  0.10800E+01
 0.68000E+03  0.10940E+01
 0.70000E+03  0.11080E+01
 0.72000E+03  0.11240E+01
 0.74000E+03  0.11400E+01
 0.76000E+03  0.11570E+01
 0.78000E+03  0.11750E+01
