NDF v9.6h 11Sep15 rev 12Mar16 run 09/05/2026 15:26:19 Filename: 672x0101.dat Nuno Barradas (Laboratório de Feixes de Iões), Campus Tecnológico e Nuclear, Instituto Superior Técnico
batch 672015.spc                                                                    
str 672015s.str                                                                   
file 672017R1.odf                                                                  
geo 672015g.geo                                                                   
elements 11
 Ca    Fe    O     C     Si    Cl    Na    Mg    Al    S     Ti   
 channel elements... background
    27  0.45560E+04  0.45870E+01  0.25006E+04  0.11751E+04  0.28654E+02  0.58098E+01  0.70722E+01  0.61341E+01  0.45115E+01  0.39929E+01  0.36846E+00  0.24504E+04
    28  0.45256E+04  0.45574E+01  0.24827E+04  0.11648E+04  0.28459E+02  0.57709E+01  0.70302E+01  0.60912E+01  0.44812E+01  0.39656E+01  0.36602E+00  0.24470E+04
    29  0.44956E+04  0.45280E+01  0.24653E+04  0.11549E+04  0.28268E+02  0.57326E+01  0.69892E+01  0.60492E+01  0.44516E+01  0.39388E+01  0.36362E+00  0.24421E+04
    30  0.44662E+04  0.44992E+01  0.24485E+04  0.11453E+04  0.28082E+02  0.56951E+01  0.69493E+01  0.60084E+01  0.44228E+01  0.39127E+01  0.36126E+00  0.24355E+04
    31  0.44376E+04  0.44710E+01  0.24324E+04  0.11362E+04  0.27901E+02  0.56586E+01  0.69107E+01  0.59689E+01  0.43951E+01  0.38874E+01  0.35896E+00  0.24271E+04
    32  0.44099E+04  0.44436E+01  0.24170E+04  0.11274E+04  0.27726E+02  0.56232E+01  0.68737E+01  0.59309E+01  0.43685E+01  0.38629E+01  0.35674E+00  0.24169E+04
    33  0.43832E+04  0.44172E+01  0.24022E+04  0.11190E+04  0.27557E+02  0.55891E+01  0.68383E+01  0.58943E+01  0.43429E+01  0.38393E+01  0.35459E+00  0.24053E+04
    34  0.43576E+04  0.43917E+01  0.23881E+04  0.11109E+04  0.27395E+02  0.55563E+01  0.68044E+01  0.58593E+01  0.43185E+01  0.38167E+01  0.35253E+00  0.23923E+04
    35  0.43330E+04  0.43672E+01  0.23746E+04  0.11033E+04  0.27240E+02  0.55249E+01  0.67722E+01  0.58257E+01  0.42952E+01  0.37950E+01  0.35055E+00  0.23785E+04
    36  0.43094E+04  0.43437E+01  0.23617E+04  0.10959E+04  0.27091E+02  0.54947E+01  0.67415E+01  0.57937E+01  0.42729E+01  0.37743E+01  0.34865E+00  0.23639E+04
    37  0.42869E+04  0.43212E+01  0.23495E+04  0.10889E+04  0.26949E+02  0.54658E+01  0.67124E+01  0.57630E+01  0.42517E+01  0.37545E+01  0.34684E+00  0.23482E+04
    38  0.42654E+04  0.42997E+01  0.23378E+04  0.10822E+04  0.26813E+02  0.54382E+01  0.66847E+01  0.57338E+01  0.42315E+01  0.37355E+01  0.34511E+00  0.23315E+04
    39  0.42449E+04  0.42791E+01  0.23267E+04  0.10757E+04  0.26683E+02  0.54118E+01  0.66585E+01  0.57059E+01  0.42123E+01  0.37175E+01  0.34345E+00  0.23135E+04
    40  0.42253E+04  0.42595E+01  0.23161E+04  0.10696E+04  0.26559E+02  0.53866E+01  0.66337E+01  0.56793E+01  0.41940E+01  0.37002E+01  0.34188E+00  0.22944E+04
    41  0.42067E+04  0.42407E+01  0.23060E+04  0.10637E+04  0.26441E+02  0.53626E+01  0.66103E+01  0.56539E+01  0.41767E+01  0.36838E+01  0.34038E+00  0.22745E+04
    42  0.41889E+04  0.42229E+01  0.22964E+04  0.10582E+04  0.26328E+02  0.53396E+01  0.65882E+01  0.56298E+01  0.41602E+01  0.36681E+01  0.33895E+00  0.22538E+04
    43  0.41720E+04  0.42058E+01  0.22873E+04  0.10528E+04  0.26221E+02  0.53177E+01  0.65673E+01  0.56068E+01  0.41445E+01  0.36532E+01  0.33759E+00  0.22327E+04
    44  0.41559E+04  0.41896E+01  0.22787E+04  0.10477E+04  0.26118E+02  0.52969E+01  0.65476E+01  0.55849E+01  0.41296E+01  0.36390E+01  0.33630E+00  0.22111E+04
    45  0.41406E+04  0.41741E+01  0.22704E+04  0.10428E+04  0.26021E+02  0.52770E+01  0.65291E+01  0.55641E+01  0.41155E+01  0.36254E+01  0.33507E+00  0.21890E+04
    46  0.41261E+04  0.41594E+01  0.22626E+04  0.10382E+04  0.25928E+02  0.52580E+01  0.65117E+01  0.55443E+01  0.41021E+01  0.36126E+01  0.33390E+00  0.21665E+04
    47  0.41123E+04  0.41454E+01  0.22552E+04  0.10338E+04  0.25840E+02  0.52400E+01  0.64954E+01  0.55255E+01  0.40894E+01  0.36004E+01  0.33279E+00  0.21434E+04
    48  0.40992E+04  0.41321E+01  0.22482E+04  0.10295E+04  0.25756E+02  0.52229E+01  0.64802E+01  0.55077E+01  0.40773E+01  0.35887E+01  0.33174E+00  0.21197E+04
    49  0.40867E+04  0.41195E+01  0.22416E+04  0.10255E+04  0.25677E+02  0.52066E+01  0.64660E+01  0.54907E+01  0.40659E+01  0.35777E+01  0.33074E+00  0.20957E+04
    50  0.40749E+04  0.41075E+01  0.22353E+04  0.10216E+04  0.25601E+02  0.51911E+01  0.64528E+01  0.54746E+01  0.40551E+01  0.35672E+01  0.32979E+00  0.20715E+04
    51  0.40637E+04  0.40961E+01  0.22293E+04  0.10179E+04  0.25529E+02  0.51764E+01  0.64405E+01  0.54594E+01  0.40448E+01  0.35572E+01  0.32888E+00  0.20474E+04
    52  0.40530E+04  0.40853E+01  0.22236E+04  0.10144E+04  0.25461E+02  0.51624E+01  0.64291E+01  0.54449E+01  0.40351E+01  0.35477E+01  0.32803E+00  0.20233E+04
    53  0.40429E+04  0.40750E+01  0.22183E+04  0.10110E+04  0.25396E+02  0.51491E+01  0.64185E+01  0.54311E+01  0.40260E+01  0.35388E+01  0.32721E+00  0.19991E+04
    54  0.40332E+04  0.40653E+01  0.22132E+04  0.10078E+04  0.25335E+02  0.51365E+01  0.64088E+01  0.54181E+01  0.40173E+01  0.35302E+01  0.32644E+00  0.19749E+04
    55  0.40241E+04  0.40561E+01  0.22084E+04  0.10047E+04  0.25276E+02  0.51246E+01  0.63999E+01  0.54057E+01  0.40092E+01  0.35221E+01  0.32571E+00  0.19357E+04
    56  0.40154E+04  0.40474E+01  0.22039E+04  0.10017E+04  0.25221E+02  0.51133E+01  0.63918E+01  0.53939E+01  0.40014E+01  0.35144E+01  0.32501E+00  0.18814E+04
    57  0.40071E+04  0.40391E+01  0.21996E+04  0.99885E+03  0.25168E+02  0.51025E+01  0.63844E+01  0.53827E+01  0.39942E+01  0.35071E+01  0.32435E+00  0.18272E+04
    58  0.39993E+04  0.40313E+01  0.21955E+04  0.99609E+03  0.25119E+02  0.50924E+01  0.63776E+01  0.53721E+01  0.39873E+01  0.35002E+01  0.32372E+00  0.17732E+04
    59  0.39918E+04  0.40239E+01  0.21917E+04  0.99344E+03  0.25071E+02  0.50827E+01  0.63715E+01  0.53620E+01  0.39808E+01  0.34936E+01  0.32313E+00  0.17262E+04
    60  0.39847E+04  0.40168E+01  0.21881E+04  0.99089E+03  0.25026E+02  0.50736E+01  0.63661E+01  0.53524E+01  0.39747E+01  0.34874E+01  0.32256E+00  0.16863E+04
    61  0.39780E+04  0.40102E+01  0.21847E+04  0.98843E+03  0.24983E+02  0.50650E+01  0.63612E+01  0.53433E+01  0.39689E+01  0.34815E+01  0.32202E+00  0.16465E+04
    62  0.39716E+04  0.40039E+01  0.21814E+04  0.98607E+03  0.24943E+02  0.50568E+01  0.63568E+01  0.53347E+01  0.39635E+01  0.34759E+01  0.32151E+00  0.16071E+04
    63  0.39655E+04  0.39980E+01  0.21784E+04  0.98380E+03  0.24904E+02  0.50491E+01  0.63530E+01  0.53264E+01  0.39585E+01  0.34705E+01  0.32102E+00  0.15772E+04
    64  0.39597E+04  0.39924E+01  0.21755E+04  0.98162E+03  0.24868E+02  0.50417E+01  0.63497E+01  0.53186E+01  0.39537E+01  0.34655E+01  0.32056E+00  0.15570E+04
    65  0.39542E+04  0.39871E+01  0.21728E+04  0.97953E+03  0.24833E+02  0.50348E+01  0.63469E+01  0.53112E+01  0.39492E+01  0.34607E+01  0.32012E+00  0.15371E+04
    66  0.39490E+04  0.39821E+01  0.21703E+04  0.97752E+03  0.24801E+02  0.50283E+01  0.63445E+01  0.53041E+01  0.39450E+01  0.34562E+01  0.31971E+00  0.15175E+04
    67  0.39441E+04  0.39774E+01  0.21679E+04  0.97560E+03  0.24770E+02  0.50221E+01  0.63425E+01  0.52975E+01  0.39411E+01  0.34520E+01  0.31931E+00  0.14999E+04
    68  0.39395E+04  0.39730E+01  0.21657E+04  0.97376E+03  0.24740E+02  0.50163E+01  0.63409E+01  0.52912E+01  0.39375E+01  0.34480E+01  0.31894E+00  0.14842E+04
    69  0.39351E+04  0.39688E+01  0.21636E+04  0.97200E+03  0.24713E+02  0.50108E+01  0.63398E+01  0.52852E+01  0.39341E+01  0.34442E+01  0.31859E+00  0.14688E+04
    70  0.39310E+04  0.39648E+01  0.21616E+04  0.97033E+03  0.24687E+02  0.50056E+01  0.63390E+01  0.52796E+01  0.39309E+01  0.34407E+01  0.31826E+00  0.14538E+04
    71  0.39271E+04  0.39611E+01  0.21598E+04  0.96874E+03  0.24662E+02  0.50008E+01  0.63385E+01  0.52744E+01  0.39280E+01  0.34374E+01  0.31795E+00  0.14372E+04
    72  0.39235E+04  0.39577E+01  0.21581E+04  0.96722E+03  0.24640E+02  0.49962E+01  0.63385E+01  0.52695E+01  0.39253E+01  0.34343E+01  0.31766E+00  0.14190E+04
    73  0.39201E+04  0.39545E+01  0.21566E+04  0.96578E+03  0.24618E+02  0.49919E+01  0.63388E+01  0.52649E+01  0.39229E+01  0.34314E+01  0.31738E+00  0.14012E+04
    74  0.39170E+04  0.39514E+01  0.21552E+04  0.96441E+03  0.24598E+02  0.49879E+01  0.63394E+01  0.52607E+01  0.39206E+01  0.34287E+01  0.31713E+00  0.13838E+04
    75  0.39141E+04  0.39486E+01  0.21539E+04  0.96312E+03  0.24580E+02  0.49842E+01  0.63403E+01  0.52568E+01  0.39186E+01  0.34262E+01  0.31690E+00  0.13658E+04
    76  0.39114E+04  0.39461E+01  0.21527E+04  0.96190E+03  0.24563E+02  0.49807E+01  0.63416E+01  0.52531E+01  0.39168E+01  0.34239E+01  0.31668E+00  0.13474E+04
    77  0.39090E+04  0.39437E+01  0.21516E+04  0.96074E+03  0.24547E+02  0.49775E+01  0.63432E+01  0.52498E+01  0.39152E+01  0.34218E+01  0.31648E+00  0.13294E+04
    78  0.39067E+04  0.39415E+01  0.21507E+04  0.95965E+03  0.24533E+02  0.49746E+01  0.63451E+01  0.52468E+01  0.39138E+01  0.34199E+01  0.31630E+00  0.13117E+04
