NDF v9.6h 11Sep15 rev 12Mar16 run 01/05/2026 17:05:16 Filename: 671f0102.dat Nuno Barradas (Laboratório de Feixes de Iões), Campus Tecnológico e Nuclear, Instituto Superior Técnico
batch 671136.spc                                                                    
str 671136s.str                                                                   
file 671136_stats.txt                                                              
geo pixe_h.geo                                                                    
element  data        error          fit
S  K:  0.737955E+06  0.737955E+05  0.774286E+06
Cl K:  0.731590E+04  0.906688E+03  0.727008E+04
K  K:  0.797400E+03  0.170325E+03  0.797769E+03
Ca K:  0.461000E+03  0.150521E+03  0.461817E+03
Ti K:  0.709300E+03  0.180564E+03  0.709911E+03
Fe K:  0.129507E+07  0.129507E+06  0.133528E+07
Cu K:  0.607100E+06  0.607100E+05  0.645872E+06
Sr K:  0.452000E+02  0.242238E+02  0.452608E+02
Sr L:  0.559000E+03  0.293143E+03  0.145869E+02
Br K:  0.187000E+02  0.131757E+02  0.188276E+02
Br L:  0.294400E+03  0.328050E+03  0.939261E-01
Rb K:  0.400000E+02  0.271689E+02  0.394329E+02
Rb L:  0.275900E+03  0.338843E+03  0.395545E+01
Se K:  0.229000E+02  0.191615E+02  0.227230E+02
Se L:  0.970000E+01  0.272475E+03  0.158800E-01
