NDF v9.6h 11Sep15 rev 12Mar16 run 01/05/2026 17:05:16 Filename: 671x0101.dat Nuno Barradas (Laboratório de Feixes de Iões), Campus Tecnológico e Nuclear, Instituto Superior Técnico
batch 671136.spc                                                                    
str 671136s.str                                                                   
file 671136R1.odf                                                                  
geo 671136g.geo                                                                   
elements 12
 S     Cl    K     Ca    Ti    Fe    Cu    O     Sr    Br    Rb    Se   
 channel elements... background
     1  0.10904E+03  0.87294E+00  0.51095E-01  0.26362E-01  0.40510E-01  0.12400E+03  0.14268E+03  0.10190E+03  0.11816E+00  0.22254E-01  0.79565E-01  0.21035E-01  0.14363E+03
     2  0.11309E+03  0.90447E+00  0.52963E-01  0.27333E-01  0.41927E-01  0.12839E+03  0.14768E+03  0.10625E+03  0.12220E+00  0.23002E-01  0.82190E-01  0.21741E-01  0.15450E+03
     3  0.11718E+03  0.93623E+00  0.54848E-01  0.28312E-01  0.43354E-01  0.13282E+03  0.15272E+03  0.11063E+03  0.12628E+00  0.23755E-01  0.84834E-01  0.22453E-01  0.16655E+03
     4  0.12128E+03  0.96819E+00  0.56746E-01  0.29300E-01  0.44790E-01  0.13728E+03  0.15780E+03  0.11503E+03  0.13039E+00  0.24514E-01  0.87495E-01  0.23169E-01  0.17784E+03
     5  0.12541E+03  0.10003E+01  0.58656E-01  0.30293E-01  0.46234E-01  0.14178E+03  0.16291E+03  0.11944E+03  0.13453E+00  0.25277E-01  0.90169E-01  0.23889E-01  0.18827E+03
     6  0.12956E+03  0.10325E+01  0.60575E-01  0.31292E-01  0.47684E-01  0.14630E+03  0.16805E+03  0.12385E+03  0.13869E+00  0.26043E-01  0.92855E-01  0.24613E-01  0.19894E+03
     7  0.13372E+03  0.10648E+01  0.62501E-01  0.32295E-01  0.49138E-01  0.15083E+03  0.17322E+03  0.12826E+03  0.14286E+00  0.26813E-01  0.95549E-01  0.25339E-01  0.20914E+03
     8  0.13788E+03  0.10972E+01  0.64431E-01  0.33301E-01  0.50595E-01  0.15539E+03  0.17840E+03  0.13266E+03  0.14706E+00  0.27584E-01  0.98248E-01  0.26067E-01  0.21879E+03
     9  0.14204E+03  0.11295E+01  0.66363E-01  0.34308E-01  0.52054E-01  0.15995E+03  0.18359E+03  0.13703E+03  0.15126E+00  0.28357E-01  0.10095E+00  0.26797E-01  0.22782E+03
    10  0.14620E+03  0.11619E+01  0.68296E-01  0.35316E-01  0.53511E-01  0.16451E+03  0.18879E+03  0.14138E+03  0.15548E+00  0.29130E-01  0.10365E+00  0.27527E-01  0.23617E+03
    11  0.15035E+03  0.11941E+01  0.70226E-01  0.36323E-01  0.54967E-01  0.16908E+03  0.19399E+03  0.14570E+03  0.15969E+00  0.29902E-01  0.10636E+00  0.28256E-01  0.24385E+03
    12  0.15448E+03  0.12262E+01  0.72152E-01  0.37329E-01  0.56420E-01  0.17364E+03  0.19919E+03  0.14997E+03  0.16391E+00  0.30674E-01  0.10905E+00  0.28985E-01  0.25083E+03
    13  0.15859E+03  0.12582E+01  0.74071E-01  0.38332E-01  0.57867E-01  0.17820E+03  0.20438E+03  0.15420E+03  0.16812E+00  0.31445E-01  0.11174E+00  0.29711E-01  0.25703E+03
    14  0.16268E+03  0.12900E+01  0.75982E-01  0.39330E-01  0.59309E-01  0.18274E+03  0.20955E+03  0.15837E+03  0.17232E+00  0.32212E-01  0.11443E+00  0.30436E-01  0.26246E+03
    15  0.16674E+03  0.13217E+01  0.77882E-01  0.40324E-01  0.60742E-01  0.18726E+03  0.21471E+03  0.16248E+03  0.17651E+00  0.32977E-01  0.11710E+00  0.31158E-01  0.26704E+03
    16  0.17077E+03  0.13530E+01  0.79770E-01  0.41312E-01  0.62167E-01  0.19176E+03  0.21984E+03  0.16653E+03  0.18068E+00  0.33738E-01  0.11975E+00  0.31876E-01  0.27078E+03
    17  0.17476E+03  0.13841E+01  0.81644E-01  0.42293E-01  0.63581E-01  0.19623E+03  0.22494E+03  0.17051E+03  0.18483E+00  0.34495E-01  0.12239E+00  0.32591E-01  0.27382E+03
    18  0.17871E+03  0.14150E+01  0.83501E-01  0.43266E-01  0.64985E-01  0.20068E+03  0.23001E+03  0.17442E+03  0.18896E+00  0.35247E-01  0.12502E+00  0.33300E-01  0.27620E+03
    19  0.18261E+03  0.14455E+01  0.85342E-01  0.44230E-01  0.66375E-01  0.20508E+03  0.23505E+03  0.17826E+03  0.19307E+00  0.35994E-01  0.12762E+00  0.34005E-01  0.27805E+03
    20  0.18648E+03  0.14756E+01  0.87163E-01  0.45185E-01  0.67752E-01  0.20946E+03  0.24004E+03  0.18202E+03  0.19714E+00  0.36734E-01  0.13020E+00  0.34704E-01  0.27944E+03
    21  0.19029E+03  0.15054E+01  0.88964E-01  0.46130E-01  0.69115E-01  0.21379E+03  0.24499E+03  0.18569E+03  0.20118E+00  0.37469E-01  0.13276E+00  0.35396E-01  0.28033E+03
