NDF v9.6h 11Sep15 rev 12Mar16 run 02/05/2026 20:23:36 Filename: 671f0102.dat Nuno Barradas (Laboratório de Feixes de Iões), Campus Tecnológico e Nuclear, Instituto Superior Técnico
batch 671119.spc                                                                    
str 671119s.str                                                                   
file 671119_stats.txt                                                              
geo pixe_h.geo                                                                    
element  data        error          fit
Si K:  0.113716E+06  0.113716E+05  0.113548E+06
S  K:  0.836570E+04  0.836570E+03  0.837895E+04
Cl K:  0.177990E+06  0.177990E+05  0.178361E+06
K  K:  0.944522E+06  0.944522E+05  0.946057E+06
Ca K:  0.703545E+06  0.703545E+05  0.704206E+06
Ti K:  0.134381E+06  0.134381E+05  0.134360E+06
Mn K:  0.150284E+07  0.150284E+06  0.150333E+07
Fe K:  0.301587E+07  0.301587E+06  0.301660E+07
Co K:  0.352192E+05  0.393438E+04  0.351916E+05
Ni K:  0.271064E+05  0.271064E+04  0.270754E+05
Cu K:  0.116488E+05  0.116488E+04  0.116434E+05
As K:  0.390600E+03  0.425960E+02  0.385685E+03
Br K:  0.134700E+03  0.354917E+02  0.131999E+03
Br L:  0.206680E+04  0.120973E+04  0.908403E+00
Sr K:  0.112200E+03  0.210659E+02  0.112566E+03
Sr L:  0.000000E+00  0.000000E+00  0.518425E+02
Y  K:  0.212000E+02  0.106453E+02  0.209517E+02
Y  L:  0.752250E+04  0.146517E+04  0.173165E+02
Mo K:  0.790000E+01  0.682536E+01  0.771622E+01
Mo L:  0.000000E+00  0.000000E+00  0.627683E+02
Ba L:  0.435170E+04  0.242553E+04  0.436253E+04
